payment_id,Business Partner,Account Number,Memo Line,Amount,Currency,Posting Date
23,Blue Horizon Travel Ltd,JP11NJUW09521234007518,INV1000000000022484 5416059703,11300479.17,JPY,20191005
24,Ivanov & Sons Engineering,EC07QGSB23709829413003,PAY  NO 0: 552598598 & NO 1: 399862655 & NO 2: 605827725 & NO 3: 270290516 5 q9p6wk0bqolx,801520.78,USD,20150928
25,Santos & Filho Lda.,AU14FSGP75413836101729,PAY  112714393,284306.78,AUD,20000926
26,Santos & Filho Lda.,AU14FSGP75413836101729,PAY INV100000000022826 125714393,214179.99,AUD,20001013
27,Ferrari & Figli SRL,SV41OAYF71955705708972,ORDER OF NO 0: 4823497 170 & NO 1: 2308437 & NO 2: 3383539330 & NO 3: 15834447344 & NO 4: 99671849123 & NO 5: 896 4709412 ,973495.4800000001,USD,20211010
28,Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT 985328542 ,33704.579999999994,EUR,20180924
29,Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT 698532854 2 INV100000000002808,11597.759999999998,EUR,20181023
30,LPT ENERGY,IE81NFGS32338919992498,8 830111745 ,284803.64,EUR,20180922
31,Bertolini & Co. SRL,JP78YIJP74181386861935,INV100000000013932 ,24182331.5,JPY,20110923
32,GSOLUTIONS INC,NZ26WIML96997855416658,RECEIPT INV100000000000 119 04582233922,278316.63,NZD,20241005
33,Bertolini & Co. SRL,JP55COGP21284347642066, 577142724,41931814.300000004,JPY,20061103
34,Zhang & Co. Limited,US15SVBG74166913229289,receipt number INV100000000013227 1656931381,28157.59,USD,20120928
35,Zhang & Co. Limited,US15SVBG74166913229289,receipt number INV100000000013227 ,49807.37000000001,USD,20121002
36,H&S Enterprises,ES92SDAP43749596766651,103403896 100000000009548 NIV100000000019347,84603.88,EUR,20211006
37,BHT TOURS,JP74DNBM06807398614973,NV100000000009767 700618 3143,14608517.0,JPY,20031015
38,BHT TOURS,JP74DNBM06807398614973,INV1010000000009767 700618313,8798193.779999997,JPY,20030928
39,Rossi & Figli Costruzioni,SV90XIEB98407044017160,ORDER OF 7655617998 NV100000000002436,238338.17,USD,20091013
40,Hassan & Sons Pvt. Ltd.,ES12GKZF14685184041382,5867413413 18423 ,167897.5,EUR,20071022
41,DF Solutions,IE84PFGD56213172748980,ORDER OF  140876 6634 676185,86169.85,EUR,20081015
42,DF Solutions,IE84PFGD56213172748980,ORDER OF  1000000001565 66346761 85,151336.29,EUR,20081017
43,SC CONSULTING GROUP,US74CBJK60402391623394,RECEIPT INV10000000000712 ,313630.22,USD,20200926
44,Zhang & Co. Limited,US15SVBG74166913229289,receipt number  no 0: 4836782463 & no 1: 9759072246 & no 2: 5684864965,683957.03,USD,20190927
45,NFS ADVISORS,PA68LDWF41360649112653,receipt number 2544177136 I1NV100000000000163 REFERENCE mbcbctg7qs9,111493.44,USD,20231006
46,PL Innovations,IT69XBSD04498910535216,ORDER OF  INV100000000004105,356527.61,EUR,20121013
47,PL Innovations,IT69XBSD04498910535216,ORDER OF 8655589009 INV100000000004105,5376.109999999986,EUR,20121014
48,Schmidt & Co. Handels,ZW12LHLP01902321935235,receipt number 22947191059 ,75436.19,USD,20030927
49,SPG REALTY,PA53NTKL71693721367740,"- 6389472373, - 5284827103  REFERENCE pssvm128",367533.32999999996,USD,20191002
50,BC Ventures,JP55COGP21284347642066,INV10000000000668 008297203,40095981.41,JPY,20131002
51,EAGLE PAYMENTS,US55FZFE21568608001876,8261879914 NV100000000027029,181478.27,USD,20141005
52,Santos & Filhos Comércio,DE12ZGPZ32978096835652,RECEIPT  + 4149409087 + 1739621230,465434.27999999997,EUR,20101017
53,RH Services,EC71POCP43339649040193,receipt number 351108798 INV1000000 00002475 eftkp4i51h6i,132402.18,USD,20241008
54,RH Services,EC71POCP43339649040193,receipt number 3351 108798 100000000002475 d3wh1j,169001.01,USD,20241029
55,Santos & Filho Lda.,AU97ZBMB38756221380797,PAY INV100000000000955 5 330548154,98896.34,AUD,20101005
56,Bianchi & Figli SRL,IE78FEXW60444394203790,RECEIPT  INV100000000000805,133142.48,EUR,20171015
57,Shoreline Property Group,PA04ULMP25623811229020,45414805 17 INV1000000 00008577 REFERENCE tz3pnpv829o62l,273904.97,USD,20151007
58,Eagle Financial Group,US55FZFE21568608001876, INV100000000008256,131902.64,USD,20231001
59,Crimson Event Management,SV12OVQE34825959716219,receipt number INV100000000012595  REF 456tll8tn1,208372.87,USD,20200928
60,RH Services,EC82DAEC93383522385495,receipt number 17000105489 INV100000000023 v8rn0977,164425.26,USD,20160929
61,Tanaka Corp.,ZW93RJDG67969379417643,#RECEIPT: 5428061564 INV100000000001568,136711.62,USD,20191009
62,Rossi & Figli Costruzioni,SV34SAPN07774155667863,ORDER OF 4467190090 ,94524.81,USD,20221010
63,Rossi & Figli Costruzioni,SV34SAPN07774155667863,ORDER OF 4467190090 ,68945.52000000002,USD,20221002
64,Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651, 199 INV100000000001965,83596.06,EUR,20240930
65,AeroMax Manufacturing,SE68LCKC51835489607558,receipt number  INV100000000012812,785086.94,SEK,20080924
66,AeroMax Manufacturing,SE68LCKC51835489607558,receipt number 4760901322 ,763639.2799999999,SEK,20081001
67,Red Maple Ventures,US77ISES92996107819674,payment  INV100000000003079,86831.43000000001,USD,20081002
68,SPG REALTY,PA04ULMP25623811229020,"- 29739300496, - 129874585, - 8320681426, - 30911886329, - 37590487 64  REFERENCE ykagfiw5s5eeo03",1403262.39,USD,20151001
69,Hassan & Sons Pvt. Ltd.,ES92SDAP43749596766651,no 0: 9225175989no 1: 4035450967no 2: 0899128597no 3: 9677173856no 4: 0782374936 100000014906 ,618359.39,EUR,20081006
70,Rossi & Figli Costruzioni,SV90XIEB98407044017160,"ORDER OF + 84711667649, + 0586 410923, + 128921583 ",481036.93999999994,USD,20091012
71,RMV CAPITAL,US49XYJM88732373778550,payment 105556719 1INV100000000003344,68716.95000000001,USD,20161013
72,RMV CAPITAL,US49XYJM88732373778550,payment 1055567 719 IVN100000000003344,36064.880000000005,USD,20161016
73,RF Solutions,EU96AZBL14840499157221,RECEIPT 2607187532 ,45311.1,EUR,20091002
74,RF Solutions,EU96AZBL14840499157221,RECEIPT 2607187532 ,163042.59,EUR,20090930
75,Nakamura & Co. 株式会社,IE96HMFG05609084516214, INV100000000004749,23469.51,EUR,20241020
76,Nakamura & Co. 株式会社,IE96HMFG05609084516214, INV100000000004749,43340.33,EUR,20241004
77,TerraNova Energy Co.,KR69MWND72849777139761,PAY  - 7564164836 - 6062957666 - 3602647428 - 1627529792 - 6064104383 - 3700401568,1166981915.8,KRW,20011010
78,Dupont & Frères SARL,IE91QOKD10812654490933,ORDER OF INV100000000015589 100000000710 ,42715.83,EUR,20191013
79,Santos & Filhos Comércio,DE13PBFW62516574641980,RECEIPT  2189313320,104515.79,EUR,20051012
80,TNE RESOURCES,KR03QBRU64573847323192,PAY  - 5088657825 - 4470981604 - 0468481758 - 7986898088,667050964.1999999,KRW,20161027
81,Patel & Sons Pvt. Ltd.,SV54HXEA79381774413232,RECEIPT INV1000000500010937 ,107414.2,USD,20051022
82,Blue Horizon Travel Ltd,JP26PWMP40022856455126,INV100000000000560 ,20355004.56,JPY,20041010
83,RH Services,EC71POCP43339649040193,receipt number NO 0: 2124155146 NO 1: 7886730774 NO 2: 2485640498 NO 3: 4716318943 NO 4: 4018036410  top4k1qis7,1022954.58,USD,20241024
84,Nakamura & Co. 株式会社,IE96HMFG05609084516214, INV100000000001114,54790.45,EUR,20121014
85,Nakamura & Co. 株式会社,IE96HMFG05609084516214,4900325850 ,69554.48,EUR,20121005
86,TNE RESOURCES,KR46UAHN91080734134865,PAY  - 2097199186 - 4794648377 - 9731784530 - 9739929162 - 2290413379 - 8367502696,2044256886.6799998,KRW,20041002
87,Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number NO 0: 2843726050 NO 1: 2403155589 NO 2: 4149210295 NO 3: 7865291464 NO 4: 6169920571 NO 5: 0868463792  x68smx7bd4f,979534.5199999999,USD,20020930
88,Nakamura Corp.,IE80QKMH17158377169473,+ 646662648+ 78449408360+ 186157067+ 452654170+ 826761828 ,551168.0,EUR,20121012
89,PL Innovations,IT69XBSD04498910535216,ORDER OF 51775378646 NV100000000005752,13641.029999999999,EUR,20241004
90,Zhao & Sons Ltd.,EU47ONKW62928204879903,payment 15457990954  REFERENCE v1dnyu5nb1hsoh,96069.49,EUR,20051014
91,SP Consulting,KR19XONN22004093612755,receipt number  512739178,266160791.9,KRW,20170930
92,Rossi Family Ventures,CH63NCZR79469934122522,+ 543366162 + 0745375 709 + 64477303634 ,319160.50999999995,CHF,20201008
93,F&F Ventures,SV41OAYF71955705708972,ORDER OF NO 0: 2989212348 & NO 1: 8146130083 & NO 2: 8733764199 ,382433.74,USD,20070929
94,SF Enterprises,AU14FSGP75413836101729,"PAY  5908144198, 8515684707, 2326086093, 0227620665",569186.93,AUD,20181003
95,TerraNova Energy Co.,KR17XYXA58116372865191,PAY  8391495585,18346566.02,KRW,20141004
96,TerraNova Energy Co.,KR17XYXA58116372865191,PAY INV100000000013546 ,12907151.21,KRW,20141015
97,P&S Enterprises,SV54HXEA79381774413232,RECEIPT INV1030000000002090 ,43706.29,USD,20131012
98,IET SOLUTIONS,ES77ZRIA44436136274569,"PAY  REF 0: 6977311, REF 1: 66386131246, REF 2: 767844 6823",436631.42,EUR,20220923
99,SPG REALTY,PA04ULMP25623811229020,"- 78782 26087, - 8862436 255, - 4746454 061  REFERENCE 52bdwivl87",721828.0,USD,20031018
100,NFS ADVISORS,PA62DRIL34514339426048,receipt number  INV7100000000017451 REFERENCE bcm,265237.97,USD,20131004
101,Schmidt & Co. Handels,ZW12LHLP01902321935235,receipt number 60365956818 I0NV100000000019558,240221.18,USD,20231011
102,AMX INDUSTRIES,SE09HDFT79653963769778,receipt number 32652911444 INV100000000006849,1246134.7699999998,SEK,20111005
103,F&F Ventures,SV41OAYF71955705708972,ORDER OF NO 0: 217126813 & NO 1: 74067409068 & NO 2: 7823972975 ,399830.03,USD,20161026
104,Vulcan Heavy Industries,EC46SLCU14727463738896,3294285060 16474 ,262453.58,USD,20090926
105,Nakamura Corp.,IE96HMFG05609084516214, INV10000000002253,45238.0,EUR,20001006
106,Nakamura Corp.,IE96HMFG05609084516214, INV10000000022533,234416.09999999998,EUR,20000926
107,IS Engineering Group,EC07QGSB23709829413003,PAY INV1000000000080 758869175 ckzql,73212.28,USD,20171007
108,KL Technologies,US07VGMG69140207635056,INV100000000003126 100002436 971922469 0,329070.46,USD,20091006
109,GXS TECH,JP55URXX19922438559959,payment INV1000000000206444 5755162162 61zms8nl,10053282.12,JPY,20000926
110,GXS TECH,JP23AAOZ43884105635802,payment INV10000000003591  4ony,3514900.29,JPY,20050927
111,GXS TECH,JP23AAOZ43884105635802,payment INV100000000053915  dw1wwhp,20311298.54,JPY,20051017
112,P&S Enterprises,SV54HXEA79381774413232,RECEIPT INV1000000000142166 53716600391,193525.07,USD,20210928
113,Blue Horizon Travel Ltd,JP11NJUW09521234007518,INV100000000046641 ,43110494.22,JPY,20161006
114,Aurora Digital Labs,US30QLXI48317160457318,105478328 INV100000000018,131731.6,USD,20061001
115,Aurora Digital Labs,US30QLXI48317160457318,1054 478328 INV010000000018619,20307.290000000008,USD,20061024
116,KL Technologies,US07VGMG69140207635056,NIV100000000004754 1000000007167 ,45765.0,USD,20151025
117,Santos & Filhos Comércio,DE80EVCP03273345215817,RECEIPT  + 0082675666 + 7674483096 + 4060906584,423872.19999999995,EUR,20181019
118,AMX INDUSTRIES,SE24QMID07942349086678,receipt number - 5612500090- 4421668601- 1562654916 ,4217084.2700000005,SEK,20171002
119,Nakamura Corp.,IE84AKGT88064699207138, INV100000000000853,70909.54000000001,EUR,20150930
120,Ramirez & Hijos Consultoría,EC52ABOT61230474486347,receipt number IN100000000010401 ,149587.2,USD,20071011
121,Dubois & Frères SARL,ZW27IZUX97571132337325,receipt number  7079855621,176654.81,USD,20211009
122,SC Trading,ZW12LHLP01902321935235,receipt number 503963443 5INV100000000011423,68954.43000000001,USD,20231026
123,Smith & Co. Consulting,US68TYWD93527713228340,RECEIPT INV100000000026159 ,150123.36,USD,20171020
124,Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number REF 0: 3699700330REF 1: 6136913004REF 2: 2158973649REF 3: 9866473019  REF 2rn2p6am0j24gh1,766124.7100000001,USD,20211004
125,OSM RESOURCES,ES61SPTI39154749449893,receipt number INV10000 0000001425 100000000010564 ,249543.66,EUR,20121022
126,Park & Lee Solutions,IT69XBSD04498910535216,ORDER OF - 9136102147 - 5764063934 - 8914090207 - 4634060482 ,829717.69,EUR,20241022
127,Santos & Filho Lda.,AU97ZBMB38756221380797,PAY INV100000000012239 ,74194.61,AUD,20090920
128,Santos & Filho Lda.,AU97ZBMB38756221380797,PAY  0299001414,92207.17999999998,AUD,20091017
129,Hassan & Co. Ltd.,ES21DMQH18438233280127,ORDER OF  6192249151,22868.73,EUR,20030926
130,GXS TECH,JP55URXX19922438559959,payment INV00000000001977 381802 4490 6fy4h4z,8975251.57,JPY,20201016
131,EAGLE PAYMENTS,US55CGKQ34343849487945,212714784 NV100000000003569,87947.79000000001,USD,20050928
132,EAGLE PAYMENTS,US55CGKQ34343849487945,227147840 INV100 000000003569,63161.02999999999,USD,20051020
133,AeroMax Manufacturing,SE68LCKC51835489607558,receipt number  INV100000000000451,1207718.52,SEK,20150930
134,OF Trading,ZW82TTLX51391866569957,receipt number 1974997220  REF c8ga,411673.9,USD,20191002
135,RMV CAPITAL,US34XOKT18597398849451,payment  NV100000000010469,124193.71,USD,20050929
136,RMV CAPITAL,US34XOKT18597398849451,payment 0390510826 INV10000000001046,107292.53000000001,USD,20051017
137,DF Solutions,IE84PFGD56213172748980,ORDER OF INV10000000000357 10003612 9504490468,55662.01,EUR,20090929
138,DF Solutions,IE84PFGD56213172748980,ORDER OF INV100000000003576 100004335 9540494068,5278.3700000000035,EUR,20091002
139,Santos & Filho Lda.,AU14FSGP75413836101729,PAY INV100000000000924 ,33785.06,AUD,20111013
140,Red Maple Ventures,US72PKFU92746836124279,"payment ref 0: 1040816701, ref 1: 5665740176, ref 2: 2141895722, ref 3: 4286214207 ",675059.77,USD,20081001
141,Kim & Lee Technologies,US78QMZQ98005519667632,INV10000 0000004850 10000016418 848698527,104265.63,USD,20101014
142,Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number  IN2V100000000013118 f2ngxjqbpn7mi3,114482.34,USD,20151022
143,Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number  INV00000000013118 krwgfu,16187.510000000007,USD,20151008
144,Santos & Filhos Comércio,DE12ZGPZ32978096835652,RECEIPT  5568888094,90020.53,EUR,20041005
145,Renault & Fils SARL,EU96AZBL14840499157221,RECEIPT  INV100000000014660,68250.77,EUR,20041029
146,NFS ADVISORS,PA09PJVM46986363192179,receipt number 2476565837 INV10000000004667 REFERENCE ruzpahb3w1,148120.88,USD,20091006
147,Rossi & Figli Costruzioni,SV38XHWS88142304184916,ORDER OF 59728890231 INV010000000000260,163539.6,USD,20131011
148,Eagle Financial Group,US55FZFE21568608001876,7377560793 IN100000000022028,366204.84,USD,20221013
149,OpalStone Mining Inc.,ES20CMTE44658450515327,receipt number  1002325 6869410200,41984.04,EUR,20030922
150,OpalStone Mining Inc.,ES20CMTE44658450515327,receipt number  100000003820 6869410200,172509.0,EUR,20031002
151,KC Tech Solutions,FR30KSSC94928415856154,ORDER OF 39763084 60 INV10000000000117 p4cz4nw,47191.55,EUR,20031013
152,KC Tech Solutions,FR30KSSC94928415856154,ORDER OF 397630 8460 INV1008000000001717 ut14mnzz,51726.14,EUR,20031001
153,P&C Enterprises,ZW71WJDX88155642569867,RECEIPT 8 039908675 152 IN1V00000000005718 NUM qd0l0wsuq1,57331.61,USD,20090921
154,Ivanov & Sons Engineering,EC86PWTQ21090281441629,PAY  505287280 dm07qtotzor5fq,10889.34,USD,20140928
155,AeroMax Manufacturing,SE68LCKC51835489607558,receipt number - 3619691626- 6990422563- 3260060090- 4745591699 ,6550874.289999999,SEK,20231006
156,P&S Enterprises,SV68OPWQ27382006880234,RECEIPT  REF 0: 3708818009REF 1: 3112937727REF 2: 6587814271REF 3: 7705086669REF 4: 8984867362,797009.6,USD,20001015
157,Hassan & Co. Ltd.,ES95HFKV50917403914231,ORDER OF INV100000 000011332 54707129313,176986.52,EUR,20001004
158,SC Trading,ZW12LHLP01902321935235,receipt number  INV100000000013 703,87106.11,USD,20041028
159,Galaxy IT Services,JP23AAOZ43884105635802,payment  6724775670 smh681oefouo,36871498.81,JPY,20101012
160,Crimson Event Management,SV12OVQE34825959716219,receipt number  2802658743 REF fjrlqhu6bst8,106127.42,USD,20180928
161,BC Ventures,JP35QALD51885621071608,INV100000000017 876 364532463,6309642.15,JPY,20160929
162,BF Holdings,JP54HUNA79643944411277,RECEIPT  INV100000000009391,23195915.99,JPY,20191023
163,BF Holdings,JP54HUNA79643944411277,RECEIPT 2554262681 ,1576606.4599999995,JPY,20190930
164,OF Trading,ZW61NWKH00776954994515,receipt number 706911055 INV1000000000058 31 REF aqj,118782.56000000001,USD,20180930
165,SC CONSULTING GROUP,US68TYWD93527713228340,RECEIPT INV100000000007108 ,148392.93,USD,20180929
166,Rossi & Figli S.p.A.,CH60WYQF12137990692904,+ 215466366 + 9036387752 ,252150.13,CHF,20241014
167,Smith & Co. Consulting,US68TYWD93527713228340,RECEIPT  6323639028,86078.76,USD,20051013
168,GSOLUTIONS INC,NZ81PSLN50784663347230,RECEIPT IN1V00000000001467 282720482,115061.2,NZD,20131004
169,GSOLUTIONS INC,NZ81PSLN50784663347230,RECEIPT INV10000000 0001467 28272092482,160405.58000000002,NZD,20131009
170,CEM PLANNERS,SV84DXDX31456639442288,receipt number  6542363419 REF v3kc,113123.48999999999,USD,20211005
171,CEM PLANNERS,SV84DXDX31456639442288,receipt number  6542363419 REF uwew2,44107.389999999985,USD,20210928
172,VISTA CARE NETWORK,SV45AQUO19832173360815,payment NV100000000005028 0099984,259927.49000000002,USD,20161002
173,Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number 4036998021  8gr,49935.53999999999,USD,20071007
174,OpalStone Mining Inc.,ES50VEUL10258081554365,receipt number  1000000815 2691380904,252078.39,EUR,20231012
175,BHT TOURS,JP11NJUW09521234007518, 9996140240,22253564.33,JPY,20040924
176,BHT TOURS,JP11NJUW09521234007518,INV100000000002816 ,5947630.460000001,JPY,20041002
177,Liu & Chao Engineering,NO83KQHA30401614802459,RECEIPT 9752300447 ,4605819.34,NOK,20171018
178,Ramirez Consulting,EC36JHZD22895566926999,receipt number  REF 0: 051044517 & REF 1: 016525939 & REF 2: 999093005 9 & REF 3: 68298314053 & REF 4: 3417862361,580585.8999999999,USD,20181007
179,DF Solutions,IE84PFGD56213172748980,ORDER OF INV1000000 00002000 1000003423 1028155412,149825.25,EUR,20171004
180,Nexus Financial Services,PA68LDWF41360649112653,receipt number  INV1000 00000000114 REFERENCE kblg,160881.49,USD,20091008
181,Tanaka Corp.,ZW93RJDG67969379417643,#RECEIPT: no 0: 3481324029 no 1: 1562391863 no 2: 1301042280 no 3: 3677336161 ,623930.5700000001,USD,20110926
182,RF Solutions,EU39QKFV96686500836193,RECEIPT 25797327582 NV100000000006007,95204.87,EUR,20141007
183,Tanaka Corp.,ZW28TTSS20204212538805,#RECEIPT: no 0: 535518312 1 no 1: 33658938078 no 2: 559838901 ,447758.32,USD,20090930
184,Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT 2435787531 ,104033.0,EUR,20040929
185,Renault & Fils SARL,EU39QKFV96686500836193,RECEIPT  INV100000000001080,211969.43,EUR,20041007
186,Nexus Financial Services,PA09PJVM46986363192179,receipt number 7062965391  REFERENCE dk2bldcru,57400.73,USD,20221004
187,Nexus Financial Services,PA09PJVM46986363192179,receipt number  INV100000000007093 REFERENCE grg3a9m,107777.00999999998,USD,20220926
188,Nexus Financial Services,PA57EITK85774453544950,receipt number 985541795 6 INV100000000005214 REFERENCE xp3pe64z0c,136645.28,USD,20101012
189,TerraNova Energy Co.,KR69MWND72849777139761,PAY  1611195240,166221062.61,KRW,20070930
190,Nexus Financial Services,PA09PJVM46986363192179,receipt number 39798534336991604604297561147271980322693895530925  REFERENCE hhr2czhq,775981.47,USD,20151027
191,IP Consulting,SV19KKUN36138602803468,ORDER OF  INV1000000000010489,31183.1,USD,20150925
192,F&F Ventures,SV33QXSG98847568135628,ORDER OF 484615343 ,76316.97,USD,20231002
193,F&F Ventures,SV33QXSG98847568135628,ORDER OF 648461543 ,53628.81,USD,20231011
194,Park & Lee Solutions,IT16HXHD15991479959515,ORDER OF - 2714723442 - 1585534165 - 4358851161 ,172603.18,EUR,20151001
195,Ramirez & Hijos Servicios,EC71POCP43339649040193,receipt number  INV100000000002928 r8xy6rlt8,123721.9,USD,20070921
196,Ivanov & Partners Ltd.,SV19KKUN36138602803468,ORDER OF  INV100000000000847,79489.39,USD,20221015
197,Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number  INV100000000003878 REF rpah,20171.89,USD,20070921
198,Oliveira & Filhos Comércio,ZW61NWKH00776954994515,receipt number 5807549535  REF envkpi,62018.11,USD,20070920
199,SC CONSULTING GROUP,US68TYWD93527713228340,RECEIPT NV100000000006025 0249681074,299980.83999999997,USD,20171002
200,SC CONSULTING GROUP,US68TYWD93527713228340,RECEIPT INV10000000 0006025 049681074,91535.93,USD,20171001
201,RMV CAPITAL,US77ISES92996107819674,payment 682239823 ,305713.95999999996,USD,20231014
202,RMV CAPITAL,US77ISES92996107819674,payment 6822398235 ,61494.44999999998,USD,20231011
203,GSOLUTIONS INC,NZ83RSKJ17204314050449,RECEIPT INV100000000024037 ,212147.75,NZD,20231020
204,Infinity Edge Technologies,ES77ZRIA44436136274569,PAY  6766029733,134213.11,EUR,20001002
205,Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number 278239962  REF uu0j0ins9oy,35506.68,USD,20061015
206,LPT ENERGY,IE81NFGS32338919992498, INV100000000008735,54527.35,EUR,20210927
207,LPT ENERGY,IE81NFGS32338919992498,5392004152 INV100000000008735,67248.25999999998,EUR,20211006
208,SPG REALTY,PA29YGYX91620708881306,484624273 INV1000050000055467 REFERENCE 8tzed3j,159834.63,USD,20131007
209,Vista Health Care Services,SV45AQUO19832173360815,payment INV100000000003697 ,86549.64,USD,20091010
210,H&S Enterprises,ES82ULNL75622001893869,8634968823 102970 NV100000000005139,167790.38,EUR,20030928
211,H&S Enterprises,ES82ULNL75622001893869,8634968823 105639 INV10000000000513,17392.320000000014,EUR,20031008
212,Apollo Catering Services,EC06KESO06541453065039,RECEIPT INV100000000005077 50518845996,6451.469999999999,USD,20111018
213,Apollo Catering Services,EC06KESO06541453065039,RECEIPT INV100000000000577 051845996,36246.130000000005,USD,20111023
214,Vista Health Care Services,SV94JRVS31257097605343,"payment  + 7288963721, + 9600773200, + 3005265918",210835.16,USD,20070930
215,Nakamura Corp.,IE96HMFG05609084516214,6925459203 ,309766.83,EUR,20091017
216,GSOLUTIONS INC,NZ81PSLN50784663347230,RECEIPT INV1000000000 14942 62251256716,151010.95,NZD,20081004
217,Park & Lee Solutions,IT16HXHD15991479959515,ORDER OF 2633949 880 ,283254.43,EUR,20230928
218,Global Solutions Ltd,NZ26WIML96997855416658,RECEIPT NIV100000000017213 ,44613.35,NZD,20210925
219,Global Solutions Ltd,NZ26WIML96997855416658,RECEIPT IN100000000017213 5107566268,190394.59,NZD,20211024
220,Nakamura Corp.,IE80QKMH17158377169473,+ 03393499+ 52644328512+ 61387611376+ 6586530865+ 696593745 ,766664.28,EUR,20141012
221,Renault & Fils SARL,EU80SHBU99676216281717,RECEIPT  INV100000000001937,102379.43,EUR,20191020
222,Global Solutions Ltd,NZ14XVEX97660034052058,RECEIPT INV100000000032721 ,140461.97,NZD,20221011
223,Patel & Co. Pvt. Ltd.,ZW71WJDX88155642569867,RECEIPT 7606432976 1000000028693  NUM l2682tvqjgz9,30820.57,USD,20120927
224,Patel & Co. Pvt. Ltd.,ZW71WJDX88155642569867,RECEIPT 7606432976 100000000002649  NUM b2ginwp83l0d,126729.18,USD,20120926
225,BF Holdings,JP94HCND63476630811658,RECEIPT 4259561153 INV10000000005240,65524704.35,JPY,20081005
226,TerraNova Energy Co.,KR69MWND72849777139761,PAY  4094781047,166361421.13,KRW,20121019
227,TerraNova Energy Co.,KR69MWND72849777139761,PAY  4094781047,24366164.800000012,KRW,20121012
228,Oliveira & Filhos Comércio,ZW97JTDO82348480752347,receipt number  INV10000000000759 REF aty0qfah4hs46k0,57831.34,USD,20130922
