invoice_id,MANDT,BURKS,GJAHR,BELNR,BZUEI,ZUONR,VBELN,KUNNR,WRBTR,ZFBDT,ZTERM
[32],001,1000,2015,1000000851,001,INV100000000002386,0399862655,MTU0130847,232694.61,20151003,0010
[33],001,1000,2015,1000002851,001,INV100000000001616,6035827725,MTU0130847,133525.17,20150930,0010
[34],001,1000,2015,1000000853,002,INV100000000002849,2702905165,MTU0130847,173232.33,20150923,0010
[35],001,1000,2000,1000000013,001,INV100000000022826,1125714393,MLW7256855,498486.77,20001017,0004
[36],001,1000,2021,1000011050,001,INV100000000030704,4823497170,UNU1323836,29345.97,20210926,0021
[37],001,1000,2021,1000010344,001,INV100000000005960,8772308437,UNU1323836,62708.59,20210921,0021
[38],001,1000,2021,1000002364,001,INV100000000001915,3383539303,UNU1323836,339007.01,20211020,0021
[39],001,1000,2021,1000003284,001,INV100000000012115,1583447344,UNU1323836,51989.68,20210922,0021
[40],001,1000,2021,1000024150,002,INV100000000004757,9967184913,UNU1323836,202218.41,20211025,0021
[41],001,1000,2021,1000001101,001,INV100000000025918,8964709412,UNU1323836,288225.89,20211015,0021
[42],001,1000,2018,1000011120,001,INV100000000002808,6985328542,EVP4571878,45302.44,20181001,0017
[43],001,1000,2018,1000003022,001,INV100000000008026,8830111745,TAE8255972,284803.64,20181014,0011
[44],001,4000,2011,1000012530,001,INV100000000013932,7158814537,JMV1008381,24182331.5,20111025,0001
[45],001,3000,2024,1000013835,001,INV100000000000119,0582233922,SIZ6820794,278316.7,20240922,0008
[46],001,3000,2006,1000018724,001,INV100000000004725,5771427242,JMV1008381,41931819.35,20061017,0019
[47],001,2000,2012,1000046360,001,INV100000000013227,1656931381,DDD0641353,77964.96,20121016,0023
[48],001,1000,2021,1000018133,001,INV100000000019347,1034038996,ZTM3306886,84603.88,20210929,0013
[49],001,3000,2003,1000013943,001,INV100000000009767,7006183143,TLW0369383,23406714.66,20030930,0005
[50],001,2000,2009,1000020556,001,INV100000000002436,7655617998,EIJ1498063,238338.17,20091002,0022
[51],001,2000,2007,1000014840,001,INV100000000001882,5867413413,ZTM3306886,167897.5,20070927,0025
[52],001,1000,2008,1000007021,001,INV100000000000043,6634676185,AVR1905370,237506.2,20081004,0014
[53],001,2000,2020,1000000719,001,INV100000000000712,5078118953,PNH6985521,313630.22,20201011,0007
[54],001,2000,2019,1000000977,001,INV100000000005018,4836782463,DDD0641353,319197.37,20191017,0023
[55],001,2000,2019,1000030535,001,INV100000000007810,9759072246,DDD0641353,278994.53,20190923,0023
[56],001,2000,2019,1000010222,001,INV100000000013095,5684864965,DDD0641353,85765.13,20190927,0023
[57],001,4000,2023,1000012027,001,INV100000000000163,5244177136,XQI8289538,111493.46,20231011,0009
[58],001,1000,2012,1000005335,001,INV100000000004105,8655589009,QYY2957205,361903.72,20121011,0001
[59],001,1000,2003,1000009535,001,INV100000000034903,2947191059,XVO6675883,75436.19,20031007,0026
[60],001,5000,2019,1000010291,002,INV100000000001655,6389472373,JJM5054555,126351.04,20191010,0022
[61],001,5000,2019,1000009797,002,INV100000000012362,5284827103,JJM5054555,241182.31,20191013,0022
[62],001,3000,2013,1000000409,001,INV100000000006682,0082967203,JMV1008381,40095981.41,20131005,0019
[63],001,1000,2014,1000000491,001,INV100000000027029,8261879914,YGQ8237982,181478.27,20141002,0021
[64],001,1000,2010,1000002008,001,INV100000000008188,4149409087,KVF4482570,202920.74,20101010,0006
[65],001,1000,2010,1000015428,001,INV100000000004516,1739621230,KVF4482570,262513.54,20100928,0006
[66],001,1000,2024,1000000734,001,INV100000000002475,3351108798,YSD3087280,301403.26,20240929,0024
[67],001,2000,2010,1000009713,002,INV100000000000955,5330548154,MLW7256855,98896.34,20100923,0006
[68],001,4000,2017,1000005671,001,INV100000000000805,5767806610,CEI4303673,133142.48,20171011,0027
[69],001,1000,2015,1000001285,001,INV100000000008577,4541480517,JJM5054555,273904.99,20151004,0001
[70],001,1000,2023,1000019451,001,INV100000000008256,0657979237,YGQ8237982,131902.64,20230929,0021
[71],001,1000,2020,1000019135,001,INV100000000012595,5205016925,XWZ9909813,208372.87,20201021,0010
[72],001,2000,2016,1000003007,001,INV100000000023733,1700010549,YSD3087280,164425.31,20161004,0002
[73],001,2000,2019,1000037520,001,INV100000000001568,5428061564,UKG9830524,136711.62,20191024,0020
[74],001,3000,2022,1000004780,001,INV100000000015006,4467190090,EIJ1498063,163470.33,20221012,0015
[75],001,1000,2024,1000003195,001,INV100000000001965,5372714823,ZTM3306886,83596.06,20240926,0013
[76],001,1000,2008,1000025086,001,INV100000000012812,4760901322,ETW4696582,1548727.11,20081009,0027
[77],001,1000,2008,1000006758,001,INV100000000003079,4155153662,YMT4618717,86831.46,20080930,0017
[78],001,1000,2015,1000000612,001,INV100000000001141,2979300496,JJM5054555,211311.24,20151004,0001
[79],001,1000,2015,1000015163,001,INV100000000013607,6129874585,JJM5054555,240109.94,20151004,0001
[80],001,1000,2015,1000004235,001,INV100000000054714,8230681426,JJM5054555,651849.46,20151015,0001
[81],001,1000,2015,1000020088,001,INV100000000014305,3091886329,JJM5054555,235154.77,20151015,0001
[82],001,1000,2015,1000001582,001,INV100000000003134,3759048764,JJM5054555,64837.04,20151015,0001
[83],001,1000,2008,1000023551,001,INV100000000008847,9225175989,ZTM3306886,299943.52,20080928,0013
[84],001,1000,2008,1000000498,001,INV100000000000774,4035450967,ZTM3306886,132424.35,20081028,0013
[85],001,1000,2008,1000008718,001,INV100000000012791,0899128597,ZTM3306886,29504.99,20081008,0013
[86],001,1000,2008,1000006483,001,INV100000000017896,9677173856,ZTM3306886,89884.77,20080926,0013
[87],001,1000,2008,1000012483,001,INV100000000001345,0782374936,ZTM3306886,66601.76,20080924,0013
[88],001,2000,2009,1000000410,001,INV100000000012214,8471167649,EIJ1498063,80014.08,20091021,0022
[89],001,2000,2009,1000006267,001,INV100000000023100,0586410923,EIJ1498063,206503.78,20090925,0022
[90],001,2000,2009,1000003035,001,INV100000000001694,1289215832,EIJ1498063,194519.1,20091008,0022
[91],001,2000,2016,1000020529,001,INV100000000003344,1055567719,YMT4618717,104781.9,20161011,0009
[92],001,3000,2009,1000017758,001,INV100000000003314,2607187532,EVP4571878,208353.69,20091001,0014
[93],001,1000,2024,1000020047,001,INV100000000004749,6619370953,ZYU5636450,66809.84,20241022,0027
[94],001,1000,2001,1000011242,001,INV100000000021196,7564164836,KBR7146665,161684422.76,20011031,0002
[95],001,1000,2001,1000008277,002,INV100000000003289,6062957666,KBR7146665,12685666.91,20011018,0002
[96],001,1000,2001,1000010510,001,INV100000000001377,3602647428,KBR7146665,238666183.36,20011012,0002
[97],001,1000,2001,1000001879,001,INV100000000004539,1627529792,KBR7146665,169398561.83,20010930,0002
[98],001,1000,2001,1000003976,001,INV100000000009813,6064104383,KBR7146665,414451953.73,20011026,0002
[99],001,1000,2001,1000007019,001,INV100000000008002,3700401568,KBR7146665,170095127.21,20010926,0002
[100],001,5000,2019,1000001435,001,INV100000000015589,7298506054,AVR1905370,42715.83,20191001,0025
[101],001,3000,2005,1000001962,001,INV100000000028002,2189313320,KVF4482570,104515.79,20051009,0006
[102],001,5000,2016,1000007398,001,INV100000000022802,5088657825,KBR7146665,28345836.67,20161018,0008
[103],001,5000,2016,1000009335,001,INV100000000009982,4470981604,KBR7146665,80777099.39,20161006,0008
[104],001,5000,2016,1000009937,001,INV100000000011377,0468481758,KBR7146665,231274363.33,20160927,0008
[105],001,5000,2016,1000016636,001,INV100000000000130,7986898088,KBR7146665,326653713.63,20161009,0008
[106],001,1000,2005,1000000563,001,INV100000000010937,8103601101,CZR7214715,107414.22,20051023,0028
[107],001,1000,2004,1000004612,001,INV100000000000560,9769369300,TLW0369383,20355004.56,20041011,0015
[108],001,1000,2024,1000004088,001,INV100000000013496,2124155146,YSD3087280,352754.39,20241003,0024
[109],001,1000,2024,1000016987,001,INV100000000011533,7886730774,YSD3087280,42244.02,20241016,0024
[110],001,1000,2024,1000005761,001,INV100000000030166,2485640498,YSD3087280,247108.6,20240930,0024
[111],001,1000,2024,1000000055,001,INV100000000016061,4716318943,YSD3087280,238734.75,20241014,0024
[112],001,1000,2024,1000006798,001,INV100000000002772,4018036410,YSD3087280,142112.88,20241001,0024
[113],001,1000,2012,1000004092,001,INV100000000001114,4900325850,ZYU5636450,124344.93,20120924,0027
[114],001,6000,2004,1000006762,001,INV100000000013387,2097199186,KBR7146665,417252633.68,20041001,0029
[115],001,6000,2004,1000001164,001,INV100000000012078,4794648377,KBR7146665,500257333.87,20040925,0029
[116],001,6000,2004,1000004129,001,INV100000000013985,9731784530,KBR7146665,266261162.59,20041013,0029
[117],001,6000,2004,1000011235,001,INV100000000003513,9739929162,KBR7146665,352646817.73,20041008,0029
[118],001,6000,2004,1000029935,001,INV100000000015598,2290413379,KBR7146665,440369193.87,20041003,0029
[119],001,6000,2004,1000057563,001,INV100000000001245,8367502696,KBR7146665,67469749.65,20041023,0029
[120],001,1000,2002,1000000341,001,INV100000000012669,2843726050,YSD3087280,75458.8,20021007,0024
[121],001,1000,2002,1000011958,002,INV100000000004852,2403155589,YSD3087280,122987.57,20020924,0024
[122],001,1000,2002,1000010429,001,INV100000000000381,4149210295,YSD3087280,120995.79,20021011,0024
[123],001,1000,2002,1000005684,001,INV100000000000839,7865291464,YSD3087280,152543.29,20021013,0024
[124],001,1000,2002,1000000950,001,INV100000000002177,6169920571,YSD3087280,113984.72,20021009,0024
[125],001,1000,2002,1000013705,002,INV100000000003284,0868463792,YSD3087280,393564.35,20021012,0024
[126],001,2000,2012,1000001899,001,INV100000000024292,6466626481,ZYU5636450,52588.77,20121013,0025
[127],001,2000,2012,1000022890,001,INV100000000012120,7849408360,ZYU5636450,17319.24,20121004,0025
[128],001,2000,2012,1000012071,001,INV100000000005479,0186157067,ZYU5636450,151959.82,20121011,0025
[129],001,2000,2012,1000010121,001,INV100000000005664,9452654170,ZYU5636450,147914.76,20121005,0025
[130],001,2000,2012,1000017879,001,INV100000000011061,8267618284,ZYU5636450,181385.41,20121008,0025
[131],001,1000,2024,1000009611,001,INV100000000005752,5177537864,QYY2957205,13641.05,20240925,0001
[132],001,4000,2005,1000000293,001,INV100000000006129,5457990954,TCO9263651,96069.49,20050920,0006
[133],001,1000,2017,1000014716,001,INV100000000003661,3512739178,GPN1729300,266160816.84,20171004,0006
[134],001,1000,2020,1000002664,001,INV100000000013010,5433661624,UXJ6820071,121097.01,20201015,0018
[135],001,1000,2020,1000020861,001,INV100000000021488,0745375709,UXJ6820071,134009.59,20200924,0018
[136],001,1000,2020,1000005289,001,INV100000000010161,6447703634,UXJ6820071,64053.92,20201010,0018
[137],001,1000,2007,1000007538,001,INV100000000006918,2989212348,UNU1323836,64337.78,20070929,0021
[138],001,1000,2007,1000016866,001,INV100000000022742,8146130083,UNU1323836,95602.63,20071003,0021
[139],001,1000,2007,1000003709,001,INV100000000006865,8733764199,UNU1323836,222493.33,20070922,0021
[140],001,1000,2018,1000003282,001,INV100000000010680,5908144198,MLW7256855,257808.95,20180927,0004
[141],001,1000,2018,1000003591,001,INV100000000012781,8515684707,MLW7256855,31748.71,20181011,0004
[142],001,1000,2018,1000005112,001,INV100000000002234,2326086093,MLW7256855,80535.36,20181017,0004
[143],001,1000,2018,1000017577,001,INV100000000012311,0227620665,MLW7256855,199094.01,20181009,0004
[144],001,2000,2014,1000004535,001,INV100000000013546,8391495585,KBR7146665,31253717.23,20140923,0019
[145],001,1000,2013,1000006552,001,INV100000000002090,1545922075,CZR7214715,43706.29,20130929,0028
[146],001,2000,2022,1000015542,001,INV100000000000011,6977311846,KST5094255,62708.29,20221001,0026
[147],001,2000,2022,1000003453,001,INV100000000002852,6638131246,KST5094255,115839.58,20221006,0026
[148],001,2000,2022,1000001792,001,INV100000000056929,7678446823,KST5094255,258083.61,20221103,0026
[149],001,1000,2003,1000002103,001,INV100000000008524,7878226087,JJM5054555,303636.75,20030928,0001
[150],001,1000,2003,1000010134,001,INV100000000000775,8862436255,JJM5054555,200261.51,20031011,0001
[151],001,1000,2003,1000008312,001,INV100000000009494,4746454061,JJM5054555,217929.75,20031022,0001
[152],001,3000,2013,1000009782,002,INV100000000017451,1284717239,XQI8289538,265238.0,20131002,0010
[153],001,1000,2023,1000002941,002,INV100000000019558,6365956818,XVO6675883,240221.18,20231004,0026
[154],001,4000,2011,1000009736,001,INV100000000006849,3265291144,ETW4696582,1246135.64,20111009,0008
[155],001,1000,2016,1000023629,001,INV100000000007756,0217126813,UNU1323836,172742.08,20161006,0021
[156],001,1000,2016,1000006222,001,INV100000000003117,7067409068,UNU1323836,172461.82,20161029,0021
[157],001,1000,2016,1000031261,001,INV100000000008439,7823792975,UNU1323836,54626.16,20161004,0021
[158],001,2000,2009,1000009494,001,INV100000000004139,3294280560,BEY4435252,262453.58,20090929,0006
[159],001,1000,2000,1000009193,001,INV100000000022533,8343266953,ZYU5636450,279654.1,20000924,0027
[160],001,1000,2017,1000017364,001,INV100000000008086,7588691075,MTU0130847,73212.31,20170930,0010
[161],001,1000,2009,1000015915,001,INV100000000003126,9719224690,EXV9923358,329070.46,20091025,0011
[162],001,1000,2000,1000001860,001,INV100000000006444,5755126162,YSV1911248,10053284.52,20001004,0020
[163],001,2000,2005,1000010744,001,INV100000000035915,4832827608,YSV1911248,23826198.83,20051030,0021
[164],001,1000,2021,1000001599,001,INV100000000012166,5371660039,CZR7214715,193525.09,20211007,0028
[165],001,2000,2016,1000014885,001,INV100000000046641,8264095284,TLW0369383,43110494.22,20161004,0022
[166],001,1000,2006,1000012608,001,INV100000000018619,1054478328,ZAL0239607,152038.89,20061012,0008
[167],001,1000,2015,1000004719,002,INV100000000004754,5595014073,EXV9923358,45765.04,20151006,0011
[168],001,2000,2018,1000001366,001,INV100000000003857,0082675666,KVF4482570,131405.16,20180930,0029
[169],001,2000,2018,1000005741,001,INV100000000003041,7674483096,KVF4482570,227465.94,20181011,0029
[170],001,2000,2018,1000016583,001,INV100000000015254,4060906584,KVF4482570,65001.1,20181003,0029
[171],001,2000,2017,1000002359,001,INV100000000001802,5612500090,ETW4696582,1482402.02,20170920,0026
[172],001,2000,2017,1000004974,001,INV100000000008083,4421668601,ETW4696582,2120588.43,20170930,0026
[173],001,2000,2017,1000005767,001,INV100000000012599,1562654916,ETW4696582,614094.09,20171010,0026
[174],001,4000,2015,1000033963,001,INV100000000000853,1960123221,ZYU5636450,70909.55,20150925,0008
[175],001,1000,2007,1000016969,001,INV100000000010401,0260186768,MUT0417299,149587.2,20071031,0013
[176],001,1000,2021,1000017287,001,INV100000000000703,7079855621,TIH6044372,176654.81,20211030,0007
[177],001,1000,2023,1000000042,001,INV100000000011423,5039634743,XVO6675883,68954.47,20230923,0026
[178],001,1000,2017,1000000925,001,INV100000000026159,1512438076,PNH6985521,150123.36,20171007,0021
[179],001,2000,2021,1000001955,001,INV100000000007806,3699700330,SVK9876542,385665.69,20210929,0012
[180],001,2000,2021,1000010699,001,INV100000000001244,6136913004,SVK9876542,122867.88,20211006,0012
[181],001,2000,2021,1000011286,001,INV100000000004018,2158973649,SVK9876542,204139.75,20210926,0012
[182],001,2000,2021,1000002764,001,INV100000000001367,9866473019,SVK9876542,53451.43,20211010,0012
[183],001,1000,2012,1000007761,001,INV100000000001425,6526695690,RJT9884296,249543.66,20120930,0017
[184],001,1000,2024,1000004230,001,INV100000000033026,9136102147,QYY2957205,260821.92,20240928,0001
[185],001,1000,2024,1000010606,001,INV100000000004115,5764063934,QYY2957205,91880.1,20241004,0001
[186],001,1000,2024,1000007446,001,INV100000000005963,8914090207,QYY2957205,56093.43,20241023,0001
[187],001,1000,2024,1000068328,001,INV100000000001479,4634060482,QYY2957205,420922.24,20240927,0001
[188],001,2000,2009,1000001004,001,INV100000000012239,0299001414,MLW7256855,166401.79,20091007,0006
[189],001,1000,2003,1000002573,001,INV100000000007134,6192249151,GXB1113780,22868.73,20030926,0019
[190],001,1000,2020,1000001800,001,INV100000000001977,3818024490,YSV1911248,8975257.24,20200929,0020
[191],001,2000,2005,1000006490,001,INV100000000003569,2127147840,YGQ8237982,151108.9,20051014,0009
[192],001,1000,2015,1000001399,001,INV100000000000451,9521818091,ETW4696582,1207718.52,20151009,0027
[193],001,4000,2019,1000016525,001,INV100000000000191,1974997220,SVK9876542,411673.94,20191025,0014
[194],001,3000,2005,1000004585,001,INV100000000010469,0390510826,YMT4618717,231486.34,20051004,0012
[195],001,1000,2009,1000014605,001,INV100000000003576,9504494068,AVR1905370,60940.44,20090930,0014
[196],001,1000,2011,1000006963,001,INV100000000000924,2980584388,MLW7256855,33785.06,20111025,0004
[197],001,4000,2008,1000002710,001,INV100000000002830,1040816701,YMT4618717,111112.22,20080926,0029
[198],001,4000,2008,1000035814,001,INV100000000015823,5665740176,YMT4618717,122690.39,20081008,0029
[199],001,4000,2008,1000004677,001,INV100000000027404,2141895722,YMT4618717,185822.79,20081001,0029
[200],001,4000,2008,1000008623,001,INV100000000001975,4286214207,YMT4618717,255434.37,20081005,0029
[201],001,2000,2010,1000006779,001,INV100000000004850,8486985627,EXV9923358,104265.63,20100930,0019
[202],001,1000,2015,1000000303,001,INV100000000013118,5193612856,YSD3087280,130669.94,20151010,0024
[203],001,1000,2004,1000008515,002,INV100000000010155,5568888094,KVF4482570,90020.53,20041003,0006
[204],001,3000,2004,1000001240,001,INV100000000014660,8144124153,EVP4571878,68250.77,20041023,0014
[205],001,1000,2009,1000015952,001,INV100000000004667,4276565837,XQI8289538,148120.91,20090926,0023
[206],001,1000,2013,1000000903,001,INV100000000000260,5972889031,EIJ1498063,163539.62,20131025,0010
[207],001,1000,2022,1000005179,001,INV100000000022028,7377506793,YGQ8237982,366204.84,20221028,0021
[208],001,2000,2003,1000001019,002,INV100000000000555,6869410200,RJT9884296,214493.04,20031003,0024
[209],001,3000,2003,1000004716,001,INV100000000001717,3976308460,ABL2462450,98917.77,20030925,0007
[210],001,1000,2009,1000014376,001,INV100000000005718,8039908675,IUX2238877,57331.62,20091011,0010
[211],001,3000,2014,1000015615,001,INV100000000015498,8505287280,MTU0130847,10889.39,20141002,0004
[212],001,1000,2023,1000003763,001,INV100000000003530,3619691626,ETW4696582,1698440.31,20230930,0027
[213],001,1000,2023,1000023256,001,INV100000000002041,6990422563,ETW4696582,950316.0,20231014,0027
[214],001,1000,2023,1000017265,001,INV100000000009580,3260060090,ETW4696582,2907178.05,20231008,0027
[215],001,1000,2023,1000005481,001,INV100000000002897,4745591699,ETW4696582,994940.3,20230922,0027
[216],001,5000,2000,1000014398,001,INV100000000013215,3708818009,CZR7214715,298878.33,20001004,0020
[217],001,5000,2000,1000004132,001,INV100000000005818,3112937727,CZR7214715,99455.54,20001002,0020
[218],001,5000,2000,1000013926,001,INV100000000003160,6587814271,CZR7214715,190472.81,20001022,0020
[219],001,5000,2000,1000002818,001,INV100000000017069,7705086669,CZR7214715,158908.07,20001010,0020
[220],001,5000,2000,1000018649,001,INV100000000004177,8984867362,CZR7214715,49294.9,20001016,0020
[221],001,3000,2000,1000001187,001,INV100000000011332,5470712933,GXB1113780,176986.55,20000929,0017
[222],001,1000,2004,1000005273,001,INV100000000013703,9393615915,XVO6675883,87106.11,20041019,0026
[223],001,2000,2010,1000021697,001,INV100000000005673,6724775670,YSV1911248,36871498.81,20100926,0021
[224],001,1000,2018,1000046879,001,INV100000000003157,2802658743,XWZ9909813,106127.42,20181007,0010
[225],001,2000,2016,1000013306,002,INV100000000017876,3645332463,JMV1008381,6309642.15,20161012,0003
[226],001,6000,2019,1000006374,001,INV100000000009391,2554262681,QNK4898931,24772533.69,20190926,0005
[227],001,2000,2018,1000002279,001,INV100000000005831,7066911055,SVK9876542,118782.6,20181022,0012
[228],001,1000,2018,1000000413,001,INV100000000007108,7792762172,PNH6985521,148392.93,20181006,0021
[229],001,3000,2024,1000020731,001,INV100000000001804,2915466366,UXJ6820071,33529.12,20240926,0018
[230],001,3000,2024,1000000707,001,INV100000000016730,9036387752,UXJ6820071,218621.01,20241017,0018
[231],001,1000,2005,1000005854,001,INV100000000007861,6323639028,PNH6985521,86078.76,20051024,0021
[232],001,1000,2013,1000004160,001,INV100000000001467,2827209482,SIZ6820794,275466.89,20130923,0004
[233],001,2000,2021,1000009540,001,INV100000000009043,6542363419,XWZ9909813,157230.98,20210927,0015
[234],001,1000,2016,1000029391,001,INV100000000005028,0099984038,JVE9656627,259927.54,20161029,0009
[235],001,1000,2007,1000001979,001,INV100000000006633,4306998021,YSD3087280,49935.59,20071005,0024
[236],001,3000,2023,1000008536,001,INV100000000010073,2691380904,RJT9884296,252078.39,20231006,0027
[237],001,2000,2004,1000013972,001,INV100000000002816,9996140240,TLW0369383,28201194.79,20041002,0022
[238],001,2000,2017,1000019651,001,INV100000000007714,9752300447,NVA0018948,4605819.34,20171015,0002
[239],001,3000,2018,1000001941,001,INV100000000006823,4051044517,MUT0417299,42200.63,20181014,0001
[240],001,3000,2018,1000007804,001,INV100000000008793,0016525939,MUT0417299,97259.34,20181011,0001
[241],001,3000,2018,1000018960,001,INV100000000009265,9990930059,MUT0417299,119751.71,20181008,0001
[242],001,3000,2018,1000002225,001,INV100000000006265,6828314053,MUT0417299,203279.25,20181012,0001
[243],001,3000,2018,1000002363,001,INV100000000007404,3147862361,MUT0417299,118095.0,20180923,0001
[244],001,1000,2017,1000004178,001,INV100000000002000,1028155421,AVR1905370,149825.3,20171013,0014
[245],001,4000,2009,1000003799,001,INV100000000000114,5440662400,XQI8289538,160881.49,20091012,0009
[246],001,2000,2011,1000013632,001,INV100000000015245,3481324029,UKG9830524,321382.43,20111013,0020
[247],001,2000,2011,1000002355,001,INV100000000005206,1562391863,UKG9830524,95264.31,20110925,0020
[248],001,2000,2011,1000007906,001,INV100000000013566,1301042280,UKG9830524,24650.02,20111008,0020
[249],001,2000,2011,1000013637,001,INV100000000006886,3677336161,UKG9830524,182633.81,20111005,0020
[250],001,1000,2014,1000010485,001,INV100000000006007,2579732758,EVP4571878,95204.9,20140924,0017
[251],001,1000,2009,1000016692,001,INV100000000003771,5355183121,UKG9830524,268583.39,20090924,0030
[252],001,1000,2009,1000002028,001,INV100000000022263,3658938078,UKG9830524,114943.44,20090921,0030
[253],001,1000,2009,1000009386,001,INV100000000019605,5598389013,UKG9830524,64231.5,20091017,0030
[254],001,1000,2004,1000003611,001,INV100000000001080,2435787531,EVP4571878,316002.43,20040926,0017
[255],001,1000,2022,1000001987,003,INV100000000007093,7062965391,XQI8289538,165177.74,20221008,0023
[256],001,2000,2010,1000027530,001,INV100000000005214,9855417956,XQI8289538,136645.31,20100927,0011
[257],001,1000,2007,1000005664,001,INV100000000068584,1611195240,KBR7146665,166221062.61,20071016,0002
[258],001,1000,2015,1000008909,001,INV100000000003396,3979853433,XQI8289538,209765.22,20151008,0023
[259],001,1000,2015,1000000188,001,INV100000000006303,6991604604,XQI8289538,246188.72,20150923,0023
[260],001,1000,2015,1000005728,001,INV100000000008280,2975611472,XQI8289538,48267.88,20151002,0023
[261],001,1000,2015,1000002380,001,INV100000000004590,7198032269,XQI8289538,138524.91,20151011,0023
[262],001,1000,2015,1000000056,001,INV100000000012584,3895530925,XQI8289538,133234.74,20151004,0023
[263],001,1000,2015,1000004304,001,INV100000000000489,9803280171,CDK1354752,31183.16,20151025,0013
[264],001,2000,2023,1000001272,002,INV100000000012022,6484615343,UNU1323836,129945.78,20230929,0028
[265],001,2000,2015,1000000833,001,INV100000000005195,2714723442,QYY2957205,43393.6,20151020,0009
[266],001,2000,2015,1000001284,001,INV100000000015771,1585534165,QYY2957205,29288.08,20151014,0009
[267],001,2000,2015,1000018341,001,INV100000000002065,4358851161,QYY2957205,99921.5,20151009,0009
[268],001,1000,2007,1000009794,001,INV100000000002928,3025003016,YSD3087280,123721.9,20070928,0024
[269],001,1000,2022,1000006545,001,INV100000000000847,8921963979,CDK1354752,79489.39,20221014,0013
[270],001,2000,2007,1000000370,001,INV100000000003878,5807549535,SVK9876542,82190.0,20071008,0012
[271],001,1000,2017,1000005843,001,INV100000000006025,2049681074,PNH6985521,391516.87,20171018,0021
[272],001,1000,2023,1000009783,002,INV100000000003442,6822398235,YMT4618717,367208.46,20230927,0017
[273],001,4000,2023,1000028804,001,INV100000000024037,3641423889,SIZ6820794,212147.8,20231020,0013
[274],001,2000,2000,1000012149,001,INV100000000002369,6766029733,KST5094255,134213.11,20001017,0026
